
GOODS ID,Original ID,Ra,Dec,Survey,Spect. z,Quality flag
J033247.42-274711.0,GMASS0692, 03:32:47.421,-27:47:11.02,GMASS (Kurk et al. 2012),1.0981,1
J033238.63-274711.3,GMASS0712, 03:32:38.632,-27:47:11.39,GMASS (Kurk et al. 2012),1.1338,1
J033231.74-274658.2,GMASS0750, 03:32:31.745,-27:46:58.29,GMASS (Kurk et al. 2012),0.0004,1
J033217.72-274702.9,GMASS0781, 03:32:17.723,-27:47:02.97,GMASS (Kurk et al. 2012),1.6052,1
J033242.97-274649.8,GMASS0839, 03:32:42.975,-27:46:49.88,GMASS (Kurk et al. 2012),1.0356,1
J033237.35-274645.3,GMASS0858, 03:32:37.356,-27:46:45.38,GMASS (Kurk et al. 2012),1.8463,1
J033228.16-274648.4,GMASS0870, 03:32:28.167,-27:46:48.41,GMASS (Kurk et al. 2012),1.9092,1
J033247.98-274639.4,GMASS0920, 03:32:47.987,-27:46:39.40,GMASS (Kurk et al. 2012),2.8281,1
J033239.71-274611.1,GMASS1084, 03:32:39.712,-27:46:11.16,GMASS (Kurk et al. 2012),1.5518,1
J033215.75-274604.3,GMASS1146, 03:32:15.757,-27:46:04.33,GMASS (Kurk et al. 2012),1.5368,1
J033222.54-274603.8,GMASS1155, 03:32:22.541,-27:46:03.84,GMASS (Kurk et al. 2012),1.7269,1
J033220.17-274549.2,GMASS1254, 03:32:20.179,-27:45:49.28,GMASS (Kurk et al. 2012),1.6105,1
J033231.33-274544.6,GMASS1274, 03:32:31.337,-27:45:44.66,GMASS (Kurk et al. 2012),1.6697,1
J033219.94-274533.8,GMASS1277, 03:32:19.946,-27:45:33.82,GMASS (Kurk et al. 2012),0.0002,1
J033239.26-274532.2,GMASS1315, 03:32:39.262,-27:45:32.24,GMASS (Kurk et al. 2012),1.0952,1
J033225.25-274529.1,GMASS1380, 03:32:25.253,-27:45:29.10,GMASS (Kurk et al. 2012),1.6121,1
J033228.90-274525.2,GMASS1394, 03:32:28.901,-27:45:25.29,GMASS (Kurk et al. 2012),0.9520,1
J033228.31-274518.7,GMASS1464, 03:32:28.314,-27:45:18.79,GMASS (Kurk et al. 2012),1.7552,1
J033218.73-274514.4,GMASS1486, 03:32:18.731,-27:45:14.44,GMASS (Kurk et al. 2012),1.8761,1
J033224.02-274504.0,GMASS1567, 03:32:24.024,-27:45:04.05,GMASS (Kurk et al. 2012),1.1101,1
J033238.59-274459.9,GMASS1585, 03:32:38.592,-27:44:59.99,GMASS (Kurk et al. 2012),0.9789,1
J033241.48-274440.3,GMASS1682, 03:32:41.482,-27:44:40.33,GMASS (Kurk et al. 2012),1.2950,1
J033236.31-274434.4,GMASS1788, 03:32:36.311,-27:44:34.47,GMASS (Kurk et al. 2012),3.4129,1
J033215.64-274434.4,GMASS1796, 03:32:15.649,-27:44:34.45,GMASS (Kurk et al. 2012),2.6161,1
J033215.35-274431.7,GMASS1822, 03:32:15.351,-27:44:31.75,GMASS (Kurk et al. 2012),1.8419,1
J033244.79-274406.2,GMASS1901, 03:32:44.795,-27:44:06.27,GMASS (Kurk et al. 2012),0.1032,1
J033233.16-274415.0,GMASS1920, 03:32:33.169,-27:44:15.08,GMASS (Kurk et al. 2012),0.6657,1
J033223.71-274411.6,GMASS1938, 03:32:23.720,-27:44:11.69,GMASS (Kurk et al. 2012),1.7596,1
J033224.64-274407.6,GMASS1979, 03:32:24.649,-27:44:07.68,GMASS (Kurk et al. 2012),1.6112,1
J033243.88-274405.6,GMASS1989, 03:32:43.882,-27:44:05.69,GMASS (Kurk et al. 2012),2.4286,0
J033244.71-274401.0,GMASS2018, 03:32:44.713,-27:44:01.05,GMASS (Kurk et al. 2012),1.9621,1
J033245.18-274401.4,GMASS2032, 03:32:45.186,-27:44:01.40,GMASS (Kurk et al. 2012),1.9622,1
J033241.86-274359.8,GMASS2043, 03:32:41.868,-27:43:59.88,GMASS (Kurk et al. 2012),2.5763,1
J033218.73-274351.6,GMASS2090, 03:32:18.733,-27:43:51.63,GMASS (Kurk et al. 2012),2.4164,1
J033238.59-274237.0,GMASS2135, 03:32:38.593,-27:42:37.03,GMASS (Kurk et al. 2012),1.2458,1
J033229.29-274244.8,GMASS2191, 03:32:29.297,-27:42:44.84,GMASS (Kurk et al. 2012),1.0404,1
J033239.68-274306.7,GMASS2219, 03:32:39.680,-27:43:06.75,GMASS (Kurk et al. 2012),1.9646,1
J033233.28-274235.9,GMASS2231, 03:32:33.284,-27:42:35.97,GMASS (Kurk et al. 2012),1.2131,1
J033227.85-274313.5,GMASS2247, 03:32:27.857,-27:43:13.58,GMASS (Kurk et al. 2012),1.6086,0
J033219.06-274315.2,GMASS2252, 03:32:19.061,-27:43:15.29,GMASS (Kurk et al. 2012),2.4065,1
J033238.86-274321.6,GMASS2303, 03:32:38.869,-27:43:21.60,GMASS (Kurk et al. 2012),2.4487,1
J033217.51-274336.4,GMASS2341, 03:32:17.518,-27:43:36.48,GMASS (Kurk et al. 2012),1.6018,1
J033233.88-274204.0,GMASS2352, 03:32:33.884,-27:42:04.02,GMASS (Kurk et al. 2012),1.6042,1
J033226.04-274236.5,GMASS2361, 03:32:26.046,-27:42:36.52,GMASS (Kurk et al. 2012),1.6086,1
J033217.11-274342.0,GMASS2368, 03:32:17.114,-27:43:42.04,GMASS (Kurk et al. 2012),1.6121,1
J033243.63-274347.7,GMASS2450, 03:32:43.633,-27:43:47.77,GMASS (Kurk et al. 2012),2.3134,1
J033243.14-274242.0,GMASS2470, 03:32:43.143,-27:42:42.04,GMASS (Kurk et al. 2012),1.4156,1
J033232.35-274248.0,GMASS2471, 03:32:32.358,-27:42:48.08,GMASS (Kurk et al. 2012),2.4301,1
J033230.32-274240.4,GMASS2540, 03:32:30.329,-27:42:40.50,GMASS (Kurk et al. 2012),1.6128,1
J033233.01-274200.3,GMASS2578, 03:32:33.019,-27:42:00.39,GMASS (Kurk et al. 2012),2.4481,1
J033234.09-274911.6,GMASS0090, 03:32:34.099,-27:49:11.69,GMASS (Kurk et al. 2012),1.9029,1
J033246.52-274735.8,GMASS0558, 03:32:46.528,-27:47:35.86,GMASS (Kurk et al. 2012),0.7064,1
J033216.25-274703.2,GMASS0773, 03:32:16.256,-27:47:03.29,GMASS (Kurk et al. 2012),1.2169,1
J033216.45-274702.3,GMASS0774, 03:32:16.459,-27:47:02.33,GMASS (Kurk et al. 2012),1.2171,1
J033247.20-274620.4,GMASS1048, 03:32:47.208,-27:46:20.48,GMASS (Kurk et al. 2012),2.8054,1
J033236.49-274629.3,GMASS0942, 03:32:36.498,-27:46:29.33,GMASS (Kurk et al. 2012),0.7649,1
J033232.96-274545.6,GMASS1232, 03:32:32.964,-27:45:45.68,GMASS (Kurk et al. 2012),0.3659,1
J033224.19-274257.6,GMASS2443, 03:32:24.198,-27:42:57.61,GMASS (Kurk et al. 2012),2.2979,1
J033242.96-274204.0,GMASS2580, 03:32:42.964,-27:42:04.08,GMASS (Kurk et al. 2012),1.2199,1
